Domain,Course Progression,Competency,Learning Objective,Enduring Understandings,Essential Questions,"Assessment Project
Check Bloom's & Webb's",Mastery Criteria / Success Metrics,UDL Accommodations,Activities
0. Foundations,Micro-Credential,"0.1. Professional Communication
Typing & Clarity","I can communicate in writing digitally quickly, clearly, and effectively.","1. Written communication is critical for remote and hybrid career success.
2. Touch typing enables thought-speed communication.
3. Clarity and brevity respect the reader's time.","1. How does my writing style affect how I am perceived professionally?
2. Why is speed important in digital communication?
3. How can I ensure my message is understood exactly as intended?",Type a post for your workplace messaging network introducing yourself to your new team.,"1. Typing speed of 40+ WPM.
2. 90%+ accuracy.
3. Tone is professional yet approachable.
4. Message is concise (under 150 words).
5. Zero spelling or grammar errors.","Engagement: Choice of communication topic and format (Slack message, email, or forum post).
Representation: Video demonstrations of touch typing, written guides, audio instructions.
Action: Voice-to-text alternatives, keyboard overlays, adjustable typing test speeds.","1. Take a typing test at 10fastfingers.com.
2. Rewrite a complex paragraph to be simple enough for a 5th grader (Hemingway App)."
0. Foundations,Micro-Credential,"0.2. Tech Stack Fluency
Hardware, OS, Software",I can use my tech stack fluently and effectively to maximize productivity.,"1. Your computer is a tool; knowing how it works makes you a master craftsman.
2. Keyboard shortcuts are the fastest way to navigate digital space.
3. Organizing your digital workspace reduces mental clutter.","1. Do I control my computer, or does it control me?
2. How much time do I lose manually clicking through menus?
3. Is my digital environment set up for deep work?",Submit a screenshot or description of your organized desktop and list 5 keyboard shortcuts you used today.,"1. Desktop is clean with grouped files.
2. Correctly identifies specs (RAM, Storage, CPU) of current machine.
3. Lists 5 valid keyboard shortcuts for their OS.
4. Demonstrates browser tab management.","Engagement: Choose your own OS (Mac, Windows, Linux) and preferred browser.
Representation: Visual shortcut cheat sheets, video tutorials, interactive keyboard trainers.
Action: Customizable keyboard shortcuts, mouse alternatives, accessibility settings.","1. Clean your Desktop (0 files).
2. Learn the shortcut for 'Screenshot', 'Find', 'New Tab', 'Close Tab', and 'Switch App'."
0. Foundations,Micro-Credential,"0.3. Organization
Analog, Local, & Cloud","I can organize my information, thinking, and documents in a way that I can find what I need quickly and consistently without losing or forgetting things.","1. A clear organizational system frees up mental energy for creativity.
2. Search is powerful, but structure is reliable.
3. Backups are not optional; they are insurance.","1. If I needed a file from 3 years ago, could I find it in 5 minutes?
2. What happens if I lose my laptop today?
3. How do I capture ideas before I forget them?","Create a folder structure for a hypothetical project and describe how you would name the files using the YYYY-MM-DD convention.","1. Folder structure shows logical hierarchy (Project > Date/Category).
2. File naming convention is consistent (YYYY-MM-DD_Name).
3. Distinctions made between Local and Cloud storage use cases.","Engagement: Choice of organizational system (PARA, GTD, or custom method).
Representation: Visual folder diagrams, video demos, written step-by-step guides.
Action: Voice commands for file management, template starter folders provided.","1. Standardize file names using ISO 8601 dates (YYYY-MM-DD).
2. Set up a cloud backup (Google Drive/iCloud).
3. Clean your Downloads folder and organize documents."
0. Foundations,Micro-Credential,"0.4. Prioritization & Time Management
Motivation, Planning, & Focus",I can motivate myself and prioritize my time to get the most important things done effectively without getting overwhelmed or too distracted.,"1. Being busy is not the same as being productive.
2. Willpower is a limited resource; rely on systems instead.
3. The most important tasks are often the hardest to start.","1. Am I doing high-value work, or just urgent work?
2. How do I handle procrastination?
3. When is my peak productive energy?",Create a prioritized to-do list for tomorrow using the Eisenhower Matrix.,"1. Tasks clearly separated into Urgent/Important quadrants.
2. Top priority (Start of day) is identified.
3. Distractions/Time-wasters are identified to be ignored.","Engagement: Choice of productivity system (Pomodoro, time-blocking, or custom).
Representation: Visual matrix templates, video explanations, audio-guided focus sessions.
Action: Timer apps, calendar blocking tools, distraction-blocking extensions.","1. Try the Pomodoro Technique (25m work, 5m break).
2. Block 'Deep Work' time on your calendar."
0. Foundations,Micro-Credential,"0.5. Measuring Impact
Analysis & Visualization",I can measure the impact of projects toward a goal and track that metric over time.,"1. 'If you can't measure it, you can't improve it.' (Drucker)
2. Data tells a story; visualization makes it readable.
3. Focus on outcomes (results), not just outputs (activity).","1. How do I know if I am succeeding?
2. What metric actually matters for this goal?
3. How can I present this data to persuade others?","Define a goal, a Key Performance Indicator (KPI) for it, and describe how you would visualize progress.","1. Goal is Specific and Measurable (SMART).
2. KPI is relevant to the goal.
3. Visualization method (Line chart, Bar graph) is appropriate for the data type.","Engagement: Choice of tracking tool (spreadsheet, app, or pen-and-paper).
Representation: Sample dashboards, video tutorials on chart creation, written guides.
Action: Pre-built spreadsheet templates, drag-and-drop chart builders.","1. Create a simple Google Sheet tracking a personal habit (e.g., cups of water, pages read)."
1. AI Leadership,Micro-Credential,"1.1. Fundamentals
How AI works",I can understand the basic math and science that make generative and agentic AI tools work.,"1. LLMs are pattern predictors, not truth machines.
2. Prompt quality determines output quality (Garbage In, Garbage Out).
3. AI has no 'intent' or consciousness; it mimics human language.","1. Is the AI 'thinking' or just predicting?
2. Why does it hallucinate (lie)?
3. How does context affect the result?","Explain 'Probability' vs 'Reasoning' in LLMs using the 'autocomplete' analogy.","1. Accurately identifies LLMs as 'next-token predictors'.
2. Uses the autocomplete analogy correctly.
3. Mentions that AI does not 'know' facts but retrieves patterns.","Engagement: Hands-on experimentation with different LLM tools (ChatGPT, Gemini, Claude).
Representation: Visual token prediction animations, written analogies, video explainers.
Action: Interactive prompt playgrounds, copy-paste examples, voice input.","1. Ask an LLM to complete a common phrase (e.g., 'To be or not...').
2. Ask it to complete a unique, made-up phrase to see it struggle."
1. AI Leadership,Micro-Credential,"1.2. Efficiency
Doing Better Faster",I can use AI on appropriate tasks to do better work in less time with fewer resources.,"1. AI excels at transformation (Summary, formatting, translation).
2. AI struggles with original insight and high-stakes accuracy.
3. The goal is to augment human capability, not replace it.","1. What tasks should I delegate to AI?
2. How much time did I save?
3. Is the quality better or worse than if I did it manually?",Take a long article (500+ words) and use AI to summarize it into 3 key takeaways and a formatted table.,"1. Summary captures the main point accurately.
2. Output format is structured (bullet points/table).
3. Reflection on time saved vs quality achieved.","Engagement: Choice of content type to summarize (news, technical docs, personal notes).
Representation: Before/after examples, video walkthroughs, written prompt templates.
Action: Pre-built prompt libraries, one-click summarization tools.","1. Paste a messy meeting transcript and ask AI to 'Extract action items and format as a checkbox list'."
1. AI Leadership,Micro-Credential,"1.3. Iteration
Rapid Revision",I can use AI to generate multiple ideas and improve upon the best.,"1. The first output is rarely the best output.
2. You can treat AI like a junior employee: give it feedback to improve.
3. Iteration with AI is faster than human-only iteration.","1. How can I guide the AI to improve its own work?
2. What specific feedback changes the result?
3. Am I settling for 'good enough'?","Generate an email draft, then iterate on it 3 times with different constraints (shorter, more professional, include a joke).","1. Evidence of 3 distinct versions of the artifact.
2. Prompt history shows directional feedback ('Make it shorter').
3. Final version is high quality.","Engagement: Choice of revision project (email, essay, code, or creative writing).
Representation: Side-by-side version comparisons, video iteration demos, written feedback scripts.
Action: Copy-paste iteration templates, voice-based feedback.","1. Write a prompt. 2. Critique the output. 3. Ask AI to fix the specific issues. Repeat."
1. AI Leadership,Full Credential,"1.4. Creativity
Expanding Human Potential","I can use AI to realize & enrich ideas, solutions, and creations that would be difficult to achieve at a human pace.","1. AI is a tool for divergent thinking (generating many options).
2. Human curation is the key to creative value.
3. Combining disparate ideas is a superpower of LLMs.","1. Can AI be truly creative?
2. How can I use AI to break through 'writer's block'?
3. How do I maintain my unique voice?","Brainstorm 20 ideas for a blog post, select the best one, and generate a detailed outline.","1. Volume of ideas (divergent thinking).
2. Quality of selection (convergent thinking).
3. Outline structure is coherent and logical.","Engagement: Choice of creative domain (writing, design concepts, business ideas).
Representation: Visual brainstorm maps, video examples, written prompt chains.
Action: Bulk idea generation prompts, drag-and-drop idea organizers.","1. 'Mash-up': Ask AI to combine two unrelated concepts (e.g., 'Bakery' and 'Cyberpunk')."
1. AI Leadership,Full Credential,"1.5. Agency
Leading Through Change",I can use & improve AI to learn new skills and integrate new tools as human systems evolve.,"1. 'Learning how to learn' is the ultimate career skill.
2. AI acts as a personalized tutor for any subject.
3. Agency means taking ownership of the outcome, using whatever tools necessary.","1. How can I use AI to teach me something new?
2. Am I waiting for instructions, or finding solutions?
3. How do I adapt when the tools change?","Use AI to learn a basic concept in a field you know nothing about (e.g., Quantum Physics, knitting, C++), then explain it back.","1. Demonstration of 'Socratic' prompting (Asking AI to teach/quiz).
2. Explanation is accurate (verified).
3. Reflection on the learning process.","Engagement: Choice of learning topic based on personal interest or career goals.
Representation: AI-generated explanations at multiple levels, video tutorials, written Q&A.
Action: Interactive quiz generation, voice-based Q&A, step-by-step curriculum builders.","1. 'Explain Like I'm 5' (ELI5) complex topics.
2. Ask AI to generate a quiz to test your knowledge."
